Note,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION
mac n weed,0,0,1,0,0,0,0,0
drug test,0,0,1,0,0,0,0,0
losing bet,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
nothing illegal,0,0,0,0,1,0,0,0
dumb bet,0,0,1,0,0,0,0,0
illegal things,0,0,0,0,1,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet dave kris lost,0,0,1,0,0,0,0,0
bets bet,0,0,1,0,0,0,0,0
crack addict slept sofa last night please go home,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
dc brunch ketamine,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
thank kratom,0,0,1,0,0,0,0,0
drug money graduation,0,0,1,0,0,0,0,0
mufasa drug monies,0,0,1,0,0,0,0,0
second poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
plus mono vs fluoro bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
edge weed 72718,0,0,1,0,0,0,0,0
marijuana,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker investments,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet wont,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
weed gas,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
lose bet,0,0,1,0,0,0,0,0
stupid bet,0,0,1,0,0,0,0,0
human smuggling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
left another bet lost,0,0,1,0,0,0,0,0
illegal firearms,0,0,0,0,1,0,0,0
coeur alene casino resort hotel,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
worst bet ever agreed,0,0,1,0,0,0,0,0
pound weed,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
drug money aka cake hahahahaha,0,0,1,0,0,0,0,0
british open bet,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
bets bet,0,0,1,0,0,0,0,0
dont bet often smal boi 1st place investment,0,0,1,0,0,0,0,0
illegal things,0,0,0,0,1,0,0,0
golf bet,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
bet winnings,0,0,1,0,0,0,0,0
weed shed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal body fluids,0,0,0,0,1,0,0,0
hey man city people bet things,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
believe dry humped dog bet bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
weed eater,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
illicit narcotics,0,0,1,0,1,0,0,0
paycheck bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
go go spy cruisey boi,0,0,1,0,0,0,0,0
gambling hahahha,0,0,1,0,0,0,0,0
interest weed farm,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
pedal pub,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
selling best drugs ever thanks dude great drug dealer,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker champ,0,0,1,0,0,0,0,0
poker tip,0,0,1,0,0,0,0,0
casino debt,0,0,1,0,0,0,0,0
casino boys,0,0,1,0,0,0,0,0
drug front,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
lcr gamble,0,0,1,0,0,0,0,0
scotch,0,0,1,0,0,0,0,0
poppers,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
shakespeare pub,0,0,1,0,0,0,0,0
ganja,0,0,1,0,0,0,0,0
czech pub food,0,0,1,0,0,0,0,1
casino,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
rum cranberry,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
diet bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
corner pub,0,0,1,0,0,0,0,0
disco ball drank,0,0,1,0,0,0,0,0
bet win,0,0,1,0,0,0,0,0
poker last time,0,0,1,0,0,0,0,0
definitely meth,0,0,1,0,0,0,0,0
american paris drinking tequila,0,0,1,1,0,0,0,1
poker,0,0,1,0,0,0,0,0
grants drugs illegal items,0,0,1,0,1,0,0,0
weed,0,0,1,0,0,0,0,0
mirage bet,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
meth ordered,0,0,1,0,0,0,0,0
marijuana,0,0,1,0,0,0,0,0
wedding booze,0,0,1,0,0,0,1,0
crystal meth,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
world cup final bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
crack,0,0,1,0,0,0,0,0
nothing illegal,0,0,0,0,1,0,0,0
beer beer die,0,0,1,0,0,0,0,0
hungover apps drinks,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
sloppy drunk legs,0,0,1,0,0,0,0,0
poker donation,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
illicit narcotics,0,0,1,0,1,0,0,0
pot booze,0,0,1,0,0,0,0,0
whiskey reds,0,0,1,0,0,0,0,0
cbd,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
fake money poker,0,0,1,0,0,0,0,0
cigarette money hunny,0,0,1,0,0,0,0,0
poker dinnerdrink,0,0,1,0,0,0,0,0
even meth,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
thanks meth,0,0,1,0,0,0,0,0
illegal beer,0,0,1,0,1,0,0,0
poker,0,0,1,0,0,0,0,0
alcohol beer baby,0,0,1,0,0,0,0,0
crack,0,0,1,0,0,0,0,0
smoking beer,0,0,1,0,0,0,0,0
poker coaching,0,0,1,0,0,0,0,0
tequila,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
whiskey isk,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
spy,0,0,1,0,0,0,0,0
dill weed,0,0,1,0,0,0,0,0
dicks meth,1,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
poker nihhr,0,0,1,0,0,0,0,0
meth dealer coming clutch,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gin tonic,0,0,1,0,0,0,0,0
gin tequila rum vodka sprite blue curacao,0,0,1,0,0,0,0,0
poker hardly know,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal paraphernalia,0,0,0,0,1,0,0,0
jack crack,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
junkie,0,0,1,0,0,0,0,0
booze,0,0,1,0,0,0,0,0
poker face,0,0,1,0,0,0,0,0
4 million dollar stake poker,0,0,1,0,0,0,0,0
poker split,0,0,1,0,0,0,0,0
gateway drug,0,0,1,0,0,0,0,0
lost bet ahahaha,0,0,1,0,0,0,0,0
dill weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
hangover help,0,0,1,0,0,0,0,0
sub par poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
late night poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
gambling addiction,0,0,1,0,0,0,0,0
wine tax tip,0,0,1,0,0,0,0,0
groceries crack,0,0,1,0,0,0,0,0
cigar bar,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
indian weed,0,0,1,0,0,0,0,0
illegal hotel room,0,0,0,0,1,0,0,0
crack box,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
neck crack,0,0,1,0,0,0,0,0
gamble,0,0,1,0,0,0,0,0
gateway drug,0,0,1,0,0,0,0,0
gambling debt,0,0,1,0,0,0,0,0
feeding gambling addiction,0,0,1,0,0,0,0,0
21 gambling,0,0,1,0,0,0,0,0
bein dope,0,0,1,0,0,0,0,0
lost bet ahahaha,0,0,1,0,0,0,0,0
narcotics,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
gambling habits,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
crack coffee,0,0,1,0,0,0,0,0
must dope,0,0,1,0,0,0,0,0
smuggling goods across city border,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
spy,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
drink yo wine,0,0,1,0,0,0,0,0
cubans rum,0,0,1,0,0,0,0,0
catalina wine mixer,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
want drug money,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
festivalfloaty booze,0,0,1,0,0,0,0,0
drank,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
burgers booze,0,0,1,0,0,0,0,0
drunk jenga,0,0,1,0,0,0,0,0
drinks cornerstone,0,0,1,0,0,0,0,0
beers burlesque,0,0,1,0,0,0,0,0
ecstasy,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker losses blind f u,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
shrooms,0,0,1,0,0,0,0,0
shrooms,0,0,1,0,0,0,0,0
smoke weed everyday,0,0,1,0,0,0,0,0
tip dealing drunk people,0,0,1,0,0,0,0,0
cash beer admission parking,0,0,1,0,0,0,0,0
drink cost admission marmar wedding count,0,0,1,0,0,0,0,0
drinks ubers,0,0,1,0,0,0,0,0
cigs wine,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
crack dawn brunch,0,0,1,0,0,0,0,0
dope,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
12 casino,0,0,1,0,0,0,0,0
gambling money,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
losing money poker,0,0,1,0,0,0,0,0
beer smokes,0,0,1,0,0,0,0,0
shrooms pt,0,0,1,0,0,0,0,0
dumbass bet,1,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
hi let go casino,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
weed money,0,0,1,0,0,0,0,0
cigarettes,0,0,1,0,0,0,0,0
bets bet,0,0,1,0,0,0,0,0
poker face,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker night,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
good bet ping pong,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
narcotics,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet bet,0,0,1,0,0,0,0,0
tobacco bay,0,0,1,0,0,0,0,0
vegas drinks,0,0,1,0,0,0,0,1
poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
nt lose especially casino,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
lost bet france planet,0,0,1,0,0,0,0,0
opium,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
weed thanks,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
underaged drinking,0,0,1,0,0,0,0,0
narcotics,0,0,1,0,0,0,0,0
daily heroin fix,0,0,1,0,0,0,0,0
porto bet refund,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
good bet,0,0,1,0,0,0,0,0
alcoholism,0,1,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
huge gambling debt,0,0,1,0,0,0,0,0
ard stat ard bet,0,0,1,0,0,0,0,0
illegal substances,0,0,1,0,1,0,0,0
poker,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
ketamine,0,0,1,0,0,0,0,0
game bet,0,0,1,0,0,0,0,0
narcotics,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
aiding drug problem,0,0,1,0,0,0,0,0
never bet,0,0,1,0,0,0,0,0
poker thanks buddy,0,0,1,0,0,0,0,0
illegal,0,0,0,0,1,0,0,0
gambling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
casino pizza,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
ken acosta 10 baby bet,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
junkie,0,0,1,0,0,0,0,0
crack shack,0,0,1,0,0,0,0,0
sober bro,0,0,1,0,0,0,0,0
sober,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
20 food 1 winning bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
nothing like side bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
weed wacker,0,0,1,0,0,0,0,0
online gambling,0,0,1,0,0,0,0,0
weed good kind,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
eatable weed products,0,0,1,0,0,0,0,0
bet hawks bet hawks big,0,0,1,0,0,0,0,0
softball bet,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
drug abuse,0,0,1,0,0,0,0,0
kikagaku moyo weed,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
bet bet,0,0,1,0,0,0,0,0
pls get weed lose lmaoo,0,0,1,0,0,0,0,0
drug,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
rly expect losing bet,0,0,1,0,0,0,0,0
flakka,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
illegal immigrant,0,0,0,0,1,1,0,0
kale salad beans mushrooms chickpeas weed,0,0,1,0,0,0,0,0
flakka,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal items,0,0,0,0,1,0,0,0
lost bet,0,0,1,0,0,0,0,0
red bar,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
drink,0,0,1,0,0,0,0,0
beers,0,0,1,0,0,0,0,0
booze,0,0,1,0,0,0,0,0
bets,0,0,1,0,0,0,0,0
dinner drinks,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
gambling debt,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
tranquility base hotel casino,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
max dlee poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
drug venmodollar,0,0,1,0,0,0,0,0
crack rocks,0,0,1,0,0,0,0,0
sober ride,0,0,1,0,0,0,0,0
vodka redbull,0,0,1,0,0,0,0,0
gambling shmoney,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker night champion,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
hoors treat minus riverboat gambling,0,0,1,0,0,0,0,0
drink bar,0,0,1,0,0,0,0,0
tequila shots,0,0,1,0,0,0,0,0
beer buy,0,0,1,0,0,0,0,0
festivalfloaty booze,0,0,1,0,0,0,0,0
beer,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
friday pool beer buckets,0,0,1,0,0,0,0,0
booze,0,0,1,0,0,0,0,0
village whiskey,0,0,1,0,0,0,0,0
drink pinks,0,0,1,0,0,0,0,0
shirt groceries liquor,0,0,1,0,0,0,0,0
groceries weed legal,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
gummy beers assorted fun,0,0,1,0,0,0,0,0
hefty price couple vodka waters,0,0,1,0,0,0,0,0
beers wknd,0,0,1,0,0,0,0,0
wine bar perfection,0,0,1,0,0,0,0,0
gnats champagne,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
brunch booze,0,0,1,0,0,0,0,0
crack juice,0,0,1,0,0,0,0,0
vodka,0,0,1,0,0,0,0,0
smoking,0,0,1,0,0,0,0,0
beer tour,0,0,1,0,0,0,0,0
mi adventure beer,0,0,1,0,0,0,0,0
much beer,0,0,1,0,0,0,0,0
hangover curez,0,0,1,0,0,0,0,0
cigarettes,0,0,1,0,0,0,0,0
drunk diner food,0,0,1,0,0,0,0,0
poker winnaa,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker losings,0,0,1,0,0,0,0,0
poker champ,0,0,1,0,0,0,0,0
gambling night,0,0,1,0,0,0,0,0
gambling night,0,0,1,0,0,0,0,0
meat wine,0,0,1,0,0,0,0,0
drinking purple kool aid,0,0,1,0,0,0,0,0
drink,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
fhe gambling,0,0,1,0,0,0,0,0
narcotic danger sticks,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker money,0,0,1,0,0,0,0,0
cooking weed book lmao,0,0,1,0,0,0,0,0
cannabis,0,0,1,0,0,0,0,0
bottle wine table,0,0,1,0,0,0,0,0
getchu moving drink preferably driving,0,0,1,0,0,0,0,0
booze,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
casino night payout good job,0,0,1,0,0,0,0,0
illegal stuff,0,0,0,0,1,0,0,0
alcoholism uber,0,0,1,0,0,0,0,0
lack weed,0,0,1,0,0,0,0,0
golf guns booze,0,0,1,0,0,0,0,0
uber booze cruise home,0,0,1,0,0,0,0,0
wine n dine,0,0,1,0,0,0,0,0
tequila rosé group one,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
risotto wine stuff,0,0,1,0,0,0,0,0
bringing drunk wife home,0,0,1,0,0,0,1,0
totally illegal monitor,0,0,0,0,1,0,0,0
bet,0,0,1,0,0,0,0,0
losing bet,0,0,1,0,0,0,0,0
casino cruise,0,0,1,0,0,0,0,0
golf bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
think something illegal ツ,0,0,0,0,1,0,0,0
poker,0,0,1,0,0,0,0,0
weed dip,0,0,1,0,0,0,0,0
tequila shootss,0,0,1,0,0,0,0,0
whiskey row,0,0,1,0,0,0,0,0
wine,0,0,1,0,0,0,0,0
beers brunch etc etc,0,0,1,0,0,0,0,0
booze,0,0,1,0,0,0,0,0
glass wine,0,0,1,0,0,0,0,0
runnimg broken ac online poker,0,0,1,0,0,0,0,0
drug deal,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
people drug lunch,0,0,1,0,0,0,0,0
weed ha jk guys usb cable amazon dan used prime account buy weed promise haha,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker boi,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
bet pay friend,0,0,1,0,0,0,0,0
bet awaiting payment,0,0,1,0,0,0,0,0
rent 5 dollars bet bowling,0,0,1,0,0,0,1,0
lyft poker,0,0,1,0,0,0,0,0
gambling addiction,0,0,1,0,0,0,0,0
drug testing,0,0,1,0,0,0,0,0
casino babby,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal fireworks,0,0,0,0,1,0,0,0
bet 5 open w life,0,0,1,0,0,0,0,0
bet buccaneer,0,0,1,0,0,0,0,0
weed money,0,0,1,0,0,0,0,0
strip poker,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
law law bet bet bet,0,0,1,0,0,0,0,0
casino fees,0,0,1,0,0,0,0,0
enabling addiction,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
drank goods,0,0,1,0,0,0,0,0
many tequila shots,0,0,1,0,0,0,0,0
drinks,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
addict,0,0,1,0,0,0,0,0
gold chain drug money,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
marijuana,0,0,1,0,0,0,0,0
love love love drug,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
price poker,0,0,1,0,0,0,0,0
mower weed wacker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
weed fund guess nsa pls ignore,0,0,1,0,0,0,0,0
poker club,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
bet bet bet,0,0,1,0,0,0,0,0
drug money,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
drug rebate,0,0,1,0,0,0,0,0
space dope,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
fueling crack fries addiction,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal stay awake noc,0,0,0,0,1,0,0,0
bet khalid wo nt ever answer back,0,0,1,0,0,0,0,0
u spy wouldnt dump,0,0,1,0,0,0,0,0
pure heroin,0,0,1,0,0,0,0,0
cash money weed,0,0,1,0,0,0,0,0
poker night,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
poker phillip king,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
august poppers,0,0,1,0,0,0,0,0
weed whacking job 707 ridge rd ben lomond full payment,0,0,1,0,0,0,0,0
use whatever want gambling buy drink buy someone else drink maybe boy live yo love,0,0,1,0,0,0,0,0
use whatever want gambling buy drink buy someone else drink maybe boy live yo love,0,0,1,0,0,0,0,0
use whatever want gambling buy drink buy someone else drink live yo love,0,0,1,0,0,0,0,0
lost bet heather,0,0,1,0,0,0,0,0
good see absurd hour drug deal probably happened trunk car,0,0,1,0,0,0,0,0
bad bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
growing weed,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
totally normal things nothing illegal,0,0,0,0,1,0,0,0
gambling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
one bet one time,0,0,0,0,0,0,0,0
illicit activities,0,0,0,0,1,0,0,0
worlds addictive drug,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
illegal things,0,0,0,0,1,0,0,0
gambling problem,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
bridgestone degenerate gambling fee,0,0,1,0,0,0,0,0
poker powers,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
heroin liam,0,0,1,0,0,0,0,0
drinks poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
weed gon smoke,0,0,1,0,0,0,0,0
poker,0,0,1,0,1,0,0,0
illegal thing told tell anyone,0,0,0,0,1,0,0,0
casino,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
600 pounds illegal drugs,0,0,1,0,1,0,0,0
return bet,0,0,1,0,0,0,0,0
gambling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
never making bet,0,0,1,0,0,0,0,0
want filthy drug money,0,0,1,0,0,0,0,0
bagel sandwich losing 5 bet bc u scrubbed,0,0,1,0,0,0,0,0
bar hoppin,0,0,1,0,0,0,0,0
mls star game bet,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker buy,0,0,1,0,0,0,0,0
bet bet,0,0,1,0,0,0,0,0
golf bet shop vac,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
casino,0,0,1,0,0,0,0,0
food beer food,0,0,1,0,0,0,0,0
pink drank,0,0,1,0,0,0,0,0
nurse drinks,0,0,1,0,0,0,0,0
beer ice,0,0,1,0,0,0,0,0
secret addiction,0,0,1,0,0,0,0,0
booze grub austin,0,0,1,0,0,0,0,0
hangover prevention,0,0,1,0,0,0,0,0
beer soccer game nisha,0,0,1,0,0,0,0,0
true love tequila spill,0,0,1,0,0,0,0,0
boat booze,0,0,1,0,0,0,0,0
drug addicts rule,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
smuggling,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
weed,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
pay casino debt,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
big dope,0,0,1,0,0,0,0,0
adam utv poker money,0,0,1,0,0,0,0,0
alc booze new pineapple,0,0,1,0,0,0,0,0
got ta stop betting,0,0,1,0,0,0,0,0
kangaroo rat go entire life without drinking final,0,0,1,0,0,0,0,0
florence wine cheese,0,0,1,0,0,0,0,1
poker night,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
true life addict,0,0,1,0,0,0,0,0
meth,0,0,1,0,0,0,0,0
cigarettes,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
heroin,0,0,1,0,0,0,0,0
lost bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
meth,0,0,1,0,0,0,0,0
bet,0,0,1,0,0,0,0,0
poker,0,0,1,0,0,0,0,0
whatever discreet term marijuana,0,0,1,0,0,0,0,0
wine wine,0,0,1,0,0,0,0,0
